                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.074,                 4.9934,                  2.605,                0.26627,                0.02778,                 0.0114,                0.00175,                  3.121,                 4.7573,                 2.6711,                 0.0919,                 0.0009,                 0.0009
                      1,                 2.9742,                 4.5538,                 2.5241,                0.00177,                0.48264,                0.00847,                0.00163,                 3.2659,                  4.284,                  3.043,               0.082862,              0.0018624,              0.0018624
                      2,                 2.7073,                 3.7691,                 2.3851,                0.28758,                0.15625,                0.02515,                0.00771,                 3.1746,                 6.4073,                 3.1322,               0.073785,              0.0027852,              0.0027852
                      3,                 2.5082,                 3.0661,                 2.2605,                0.40133,                0.24514,                0.09349,                0.03202,                 2.4354,                 3.7583,                 2.7854,               0.064668,              0.0036683,              0.0036683
                      4,                 2.2778,                 2.7451,                 2.1598,                0.19825,                0.16616,                0.10731,                0.04152,                 2.4531,                  3.913,                 2.8064,               0.055512,              0.0045119,              0.0045119
                      5,                 2.2795,                  2.599,                 2.1147,                0.17315,                0.25139,                0.16029,                0.06293,                 2.3828,                 3.2146,                 2.7935,               0.046316,              0.0053159,              0.0053159
                      6,                 2.1545,                 2.3265,                 1.9744,                0.10825,                0.24306,                0.13586,                0.04824,                 2.5713,                 3.2158,                 2.9447,                0.03708,              0.0060803,              0.0060803
                      7,                 2.0698,                 2.2344,                 1.8665,                0.32914,                0.40694,                0.27345,                0.09728,                 2.3883,                 2.7325,                 2.8039,               0.027805,              0.0068051,              0.0068051
                      8,                  2.007,                 2.3043,                 1.8682,                0.07852,                0.30417,                0.09477,                 0.0353,                 2.0834,                 3.3013,                 2.5473,                0.01849,              0.0074902,              0.0074902
                      9,                 1.9211,                 2.2055,                 1.8084,                0.09215,                0.44861,                 0.0929,                0.02826,                 2.6978,                  3.905,                 3.0704,              0.0091358,              0.0081358,              0.0081358
                     10,                 2.0039,                 2.1658,                 1.8478,                0.87227,                 0.0625,                 0.2058,                0.05965,                 2.5021,                 3.5341,                 2.4444,                0.00802,                0.00802,                0.00802
                     11,                 1.9214,                 2.0937,                 1.7856,                0.09743,                0.38587,                0.15577,                0.05965,                 2.7416,                 3.0011,                 2.9369,                0.00802,                0.00802,                0.00802
                     12,                 1.9586,                 1.9312,                 1.8066,                0.27364,                0.19375,                0.20012,                0.08013,                 2.3607,                 2.7787,                 2.5278,               0.007822,               0.007822,               0.007822
                     13,                 1.8578,                 1.8887,                 1.7425,                0.45231,                0.21111,                0.23124,                0.09241,                 2.3016,                 3.5472,                 2.5008,               0.007624,               0.007624,               0.007624
                     14,                 1.8523,                  1.861,                 1.7003,                0.64671,                0.32986,                0.37103,                0.13397,                 2.1106,                 2.6394,                 2.4466,               0.007426,               0.007426,               0.007426
                     15,                 1.9047,                 1.7188,                 1.7395,                0.24904,                0.43056,                0.29807,                0.12282,                  2.334,                 2.9844,                  2.611,               0.007228,               0.007228,               0.007228
                     16,                 1.8128,                 1.6716,                 1.6316,                 0.5108,                0.28049,                0.23682,                0.08297,                 2.4144,                  2.994,                 2.7485,                0.00703,                0.00703,                0.00703
                     17,                 1.7772,                 1.6585,                  1.647,                0.55625,                0.31386,                0.32334,                0.10664,                 2.3451,                 2.7165,                 2.5428,               0.006832,               0.006832,               0.006832
                     18,                 1.7771,                 1.5881,                 1.6812,                0.26152,                0.46882,                0.36119,                0.14063,                 2.2239,                 2.4771,                 2.7321,               0.006634,               0.006634,               0.006634
                     19,                 1.8181,                 1.6743,                 1.6771,                0.58601,                 0.3377,                0.34685,                0.13569,                 2.3752,                 2.3536,                 2.8243,               0.006436,               0.006436,               0.006436
                     20,                 1.7958,                  1.546,                 1.7082,                0.34545,                0.32625,                0.31632,                0.10923,                 2.4032,                 2.5985,                 2.7445,               0.006238,               0.006238,               0.006238
                     21,                 1.7874,                  1.579,                 1.6675,                0.43332,                0.48056,                0.40783,                0.14691,                 2.2329,                 2.2108,                 2.6424,                0.00604,                0.00604,                0.00604
                     22,                 1.7404,                 1.5461,                 1.6089,                0.44382,                0.40208,                0.45435,                0.15502,                 2.1243,                 2.0649,                 2.6473,               0.005842,               0.005842,               0.005842
                     23,                 1.7376,                 1.5044,                 1.5887,                0.66864,                0.42711,                0.49825,                0.18531,                 2.0604,                 2.0511,                 2.2805,               0.005644,               0.005644,               0.005644
                     24,                 1.7322,                 1.4535,                 1.5984,                0.46167,                0.57277,                0.43869,                0.15692,                 2.1527,                 2.1541,                 2.4454,               0.005446,               0.005446,               0.005446
                     25,                 1.6593,                 1.3868,                 1.5421,                0.40325,                0.51046,                0.40095,                0.17461,                  1.976,                  2.431,                 2.3487,               0.005248,               0.005248,               0.005248
                     26,                 1.6911,                 1.3848,                 1.5693,                0.58231,                0.51736,                0.50071,                0.23229,                 1.8958,                 1.9481,                 2.3095,                0.00505,                0.00505,                0.00505
                     27,                 1.6666,                 1.4319,                 1.5626,                0.72158,                0.40486,                0.46175,                0.22308,                 2.1668,                 2.2435,                 2.6383,               0.004852,               0.004852,               0.004852
